timestamp,open,high,low,close,volume,funding,oi_btc,oi_usd,ret_1,ret_24h,ret_48h,range_24h,volatility_24h,funding_ma_24h,funding_z_30d,funding_prev,funding_prev2,oi_change_24h,oi_change_48h,oi_z_30d,ema_20,ema_50,ema_slope_24h,trend,h9_crowded_long_short,h9_crowded_short_long,funding_flip_short,funding_flip_long,flush_rebound_long,signal_score_short,signal_score_long,signal
2026-05-13 04:00:00,81249.99,81281.07,80889.12,81026.92,1495.76347,5.367e-05,105835.643,8566946280.09668,,,,,,,,,,,,,81026.92,81026.92,,sideway,False,False,False,False,False,0,0,hold
2026-05-13 08:00:00,81026.92,81324.64,80494.98,80501.22,1841.28298,5.437e-05,105216.872,8498385226.646267,-0.00648796720892264,,,,,,,5.367e-05,,,,,80976.85333333333,81006.30431372549,,sideway,False,False,False,False,False,0,0,hold
2026-05-13 12:00:00,80501.22,80592.65,78807.22,78827.21,5073.46241,5.437e-05,103963.568,8288724178.6496,-0.02079484012788868,,,,,5.413666666666667e-05,,5.437e-05,5.367e-05,,,,80772.1253968254,80920.84963475587,,sideway,False,False,False,False,False,0,0,hold
2026-05-13 16:00:00,78827.21,79800.0,78754.65,79642.41,3344.60077,1.749e-05,104467.895,8311016514.2515,0.010341606660948743,,,,,4.4975e-05,,5.437e-05,5.437e-05,,,,80664.5334542706,80870.71474711839,,sideway,False,False,False,False,False,0,0,hold
2026-05-13 20:00:00,79642.41,79760.0,79228.0,79313.61,1479.02843,1.749e-05,104065.646,8262305056.834388,-0.004128453671856547,,,,,3.9478000000000004e-05,,1.749e-05,5.437e-05,,,,80535.87407767339,80809.65181585884,,sideway,False,False,False,False,False,0,0,hold
2026-05-14 00:00:00,79313.61,79681.73,78922.0,79044.85,2209.55472,3.928e-05,104267.444,8271421638.3316,-0.0033885735373789805,,,0.032632866757708934,,3.9445e-05,,1.749e-05,1.749e-05,,,,80393.87178456163,80740.44390151145,,sideway,False,False,False,False,False,0,0,hold
2026-05-14 04:00:00,79044.86,79998.0,78982.06,79745.98,2068.97946,3.928e-05,103779.271,8278430935.9616,0.008870027585604845,-0.015808820081029906,,0.032632866757708934,0.011385720949713393,3.7046666666666665e-05,,3.928e-05,1.749e-05,-0.019429862584195767,,,80332.16780507957,80701.44531713845,-0.008574337947443,down,False,False,False,False,False,0,0,hold
2026-05-14 08:00:00,79745.99,79936.98,79234.0,79258.27,1846.46215,2.928e-05,104024.752,8273078124.0848,-0.006115794175455491,-0.015440138671190318,,0.02333830446837104,0.011361277904229236,3.2865e-05,,3.928e-05,3.928e-05,-0.011330122035941304,,,80229.89182364343,80644.85020666244,-0.00922438300504358,down,False,False,False,False,False,0,0,hold
2026-05-14 12:00:00,79258.27,81332.23,79230.31,81301.23,5702.09728,2.928e-05,105777.618,8560201825.3152,0.025775985269423485,0.03138535538680087,,0.032729242019360116,0.012264609563579129,2.868333333333333e-05,,2.928e-05,3.928e-05,0.017448900945762125,,,80331.92403091548,80670.59059071488,-0.005449916833898505,sideway,False,False,False,False,False,0,0,hold
2026-05-14 16:00:00,81301.22,82048.13,81080.25,81419.74,6279.93607,4.094e-05,110585.775,9016786781.246357,0.0014576655236335778,0.0223163764130192,,0.039610374800435943,0.012057997549227609,3.259166666666666e-05,,2.928e-05,2.928e-05,0.05856229801509816,,,80435.52555178068,80699.96899892215,-0.002839016017116669,sideway,False,False,False,False,False,0,0,hold
